ProductID;ProductName;ProductType;ProductUnitPrice;ProductDescription
90420332;FREKVENS;Bar furniture;265;Bar table, in/outdoor, 51x51 cm
368814;NORDVIKEN;Bar furniture;995;Bar table, 140x80 cm
9333523;NORDVIKEN / NORDVIKEN;Bar furniture;2095;Bar table and 4 bar stools
80155205;STIG;Bar furniture;69;Bar stool with backrest, 74 cm
30180504;NORBERG;Bar furniture;225;Wall-mounted drop-leaf table, 74x60 cm
10122647;INGOLF;Bar furniture;345;Bar stool with backrest, 63 cm
70404875;FRANKLIN;Bar furniture;129;Bar stool with backrest, foldable, 63 cm
60155602;DALFRED;Bar furniture;195;Bar stool, 63-74 cm
50406465;FRANKLIN;Bar furniture;129;Bar stool with backrest, foldable, 63 cm
69304221;EKEDALEN / EKEDALEN;Bar furniture;2176;Bar table and 4 bar stools
90404879;FRANKLIN;Bar furniture;149;Bar stool with backrest, foldable, 74 cm
121766;INGOLF;Bar furniture;395;Bar stool with backrest, 74 cm
397736;NORRARYD;Bar furniture;395;Bar stool with backrest, 74 cm
50420329;FREKVENS;Bar furniture;177;Bar stool with backrest, in/outdoor, 74 cm
400550;EKEDALEN;Bar furniture;345;Bar stool with backrest, 75 cm
29123958;MINNEN;Beds;395;Ext bed frame with slatted bed base, 80x200 cm
49278341;BRIMNES;Beds;895, Bed frame w storage and headboard, 90x200 cm
50461230;SMÃ…GÃ–RA;Beds;595;Cot;60x120 cm
89326463;PLATSA;Beds;2111;Bed frame with 4 drawers, 140x244x163 cm
50468953;VATTVIKEN;Beds;995;Armchair-bed
69326609;SLÃ„KT;Beds;540;Ext bed frame with slatted bed base, 80x200 cm
59099136;BRIMNES;Beds;795;Bed frame w storage and headboard, 140x200 cm
40395245;NEIDEN;Beds;99;Bed frame, 90x200 cm
69277307;LEIRVIK;Beds;1195;Bed frame, 180x200 cm
70395239;NEIDEN;Beds;199;Bed frame, 140x200 cm
89931560;HEMNES;Beds;675;Bed frame, 140x200 cm
30446373;SLATTUM;Beds;595;Upholstered bed frame, 140x200 cm
59248612;NEIDEN;Beds;199;Bed frame, 90x200 cm
19254209;SAGSTUA;Beds;545;Bed frame, 140x200 cm
20400691;BRIMNES;Beds;575;Bed frame with storage, 90x200 cm
59297141;JONAXEL;Bookcases & shelving units;135;Frame with mesh baskets, 25x51x70 cm
59201841;OLAUS;Bookcases & shelving units;290;1 shelf section, 92x36x181 cm
59297674;JONAXEL;Bookcases & shelving units;915;Frame/mesh baskts/clths rl/shlv uts, 198x51x173 cm
450347;KOLBJÃ–RN;Bookcases & shelving units;345;Cabinet in/outdoor, 80x81 cm
69297287;JONAXEL;Bookcases & shelving units;375;Shelving unit, 182x51x160 cm
99303461;IVAR;Bookcases & shelving units;1385;Shelv unit w table/cabinets/drawers, 175x30-104x179 cm
70261131;GERSBY;Bookcases & shelving units;95;Bookcase, 60x180 cm
20275814;KALLAX;Bookcases & shelving units;115;Shelving unit, 77x77 cm
60282186;LACK;Bookcases & shelving units;199;Wall shelf unit, 30x190 cm
278578;HYLLIS;Bookcases & shelving units;59;Shelving unit, 60x27x140 cm
80275887;KALLAX;Bookcases & shelving units;250;Shelving unit, 77x147 cm
50419972;JONAXEL;Bookcases & shelving units;175;Shelving unit, 80x38x160 cm
30428326;HYLLIS;Bookcases & shelving units;39;Shelving unit, 60x27x74 cm
90282180;LACK;Bookcases & shelving units;39;Wall shelf, 110x26 cm
40178591;LAIVA;Bookcases & shelving units;85;Bookcase, 62x165 cm
30441554;TIMMERVIKEN;Cabinets & cupboards;115;Door, 60x64 cm
49300827;BESTÃ…, Cabinets & cupboards;1850;Storage combination w glass doors, 120x42x192 cm
80441556;TIMMERVIKEN;Cabinets & cupboards;100;Door/drawer front, 60x38 cm
29297958;BESTÃ…, Cabinets & cupboards;820;TV bench with drawers, 120x42x48 cm
10443629;GLASSVIK;Cabinets & cupboards;175;Glass door, 60x38 cm
80275887;KALLAX;Cabinets & cupboards;250;Shelving unit, 77x147 cm
59286468;EKET;Cabinets & cupboards;311;Cabinet combination with legs, 70x35x80 cm
40033763;IVAR;Cabinets & cupboards;295;Cabinet, 80x30x83 cm
40383737;LOMMARP;Cabinets & cupboards;1116;Cabinet with glass doors, 86x199 cm
10119206;DETOLF;Cabinets & cupboards;295;Glass-door cabinet, 43x163 cm
59278307;KALLAX;Cabinets & cupboards;500;Shelving unit with 4 inserts, 77x147 cm
49280042;BILLY / OXBERG;Cabinets & cupboards;315;Bookcase with doors, 80x30x106 cm
30439565;SYVDE;Cabinets & cupboards;595;Cabinet with glass doors, 100x123 cm
